id;Type;Quant;Date;Status;Province;lat;lon
Kharkiv Oblast;APC;1;04.05.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.078002;36.791923
Kharkiv Oblast;APC;1;04.05.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.377402;37.625433
Kharkiv Oblast;MBT;1;03.05.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Donetsk Oblast;APC;1;02.05.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.962550;37.823299
Kharkiv Oblast;MBT;1;02.05.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.154208;37.067732
Donetsk Oblast;AA;1;01.05.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.962550;37.823299
Kherson Oblast;MBT;1;01.05.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Luhansk Oblast;MBT;1;30.04.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.573905;39.307642
Donetsk Oblast;RECCE;1;29.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.962550;37.823299
;MBT;1;28.04.2022;DESTROYED;;;
;MBT;1;28.04.2022;DESTROYED;;;
Donetsk Oblast;APC;1;28.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;APC;1;28.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Luhansk Oblast;APC;1;27.04.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.018267;38.360802
;APC;1;27.04.2022;DESTROYED;;;
;RECCE;1;26.04.2022;DESTROYED;;;
;RECCE;1;26.04.2022;DESTROYED;;;
;RECCE;1;26.04.2022;DESTROYED;;;
Chernihiv Oblast;MBT;1;26.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Kherson Oblast;RECCE;1;25.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985
Kherson Oblast;RECCE;1;25.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985
Kherson Oblast;RECCE;1;25.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985
