id;Name;Type;Quant;Date;Status;Town;Province;lat;lon;Last_update
Kharkiv Oblast;БТР-4;APC;1;04.05.2022;DESTROYED;СТАРЫЙ САЛТОВ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.078002;36.791923;07.05.2022
Kharkiv Oblast;БТР-3Е;APC;1;04.05.2022;DESTROYED;БОРОВАЯ;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.377402;37.625433;07.05.2022
Kharkiv Oblast;Т-64БМ;MBT;1;03.05.2022;DESTROYED;;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;07.05.2022
Donetsk Oblast;БТР-80;APC;1;02.05.2022;DESTROYED;ЛИМАН;ДОНЕЦКАЯ ОБЛАСТЬ;48.962550;37.823299;07.05.2022
Kharkiv Oblast;Т-64БВ;MBT;1;02.05.2022;DESTROYED;ЗАВОДЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.154208;37.067732;07.05.2022
Donetsk Oblast;35Д6М;AA;1;01.05.2022;DESTROYED;ЛИМАН;ДОНЕЦКАЯ ОБЛАСТЬ;48.962550;37.823299;07.05.2022
Kherson Oblast;Т-64БВ;MBT;1;01.05.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;07.05.2022
Luhansk Oblast;Т-72АВ;MBT;1;30.04.2022;DESTROYED;;ЛУГАНСКАЯ ОБЛАСТЬ;48.573905;39.307642;07.05.2022
Donetsk Oblast;9П149;RECCE;1;29.04.2022;DESTROYED;ЛИМАН;ДОНЕЦКАЯ ОБЛАСТЬ;48.962550;37.823299;07.05.2022
;Т-64БВ;MBT;1;28.04.2022;DESTROYED;;;;;07.05.2022
;Т-64БВК;MBT;1;28.04.2022;DESTROYED;;;;;07.05.2022
Donetsk Oblast;БТР-3Е;APC;1;28.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;07.05.2022
Donetsk Oblast;БТР-80;APC;1;28.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;07.05.2022
Luhansk Oblast;МТ-ЛБ;APC;1;27.04.2022;DESTROYED;РУБЕЖНОЕ;ЛУГАНСКАЯ ОБЛАСТЬ;49.018267;38.360802;07.05.2022
;БТР-3Е;APC;1;27.04.2022;DESTROYED;;;;;07.05.2022
;БРДМ-2РХБ;RECCE;1;26.04.2022;DESTROYED;;;;;07.05.2022
;БРДМ-2РХБ;RECCE;1;26.04.2022;DESTROYED;;;;;07.05.2022
;БРДМ-2;RECCE;1;26.04.2022;DESTROYED;;;;;07.05.2022
Chernihiv Oblast;Т-72АМТ;MBT;1;26.04.2022;DESTROYED;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320;07.05.2022
Kherson Oblast;БРДМ-2;RECCE;1;25.04.2022;DESTROYED;СОФИЕВКА;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985;07.05.2022
Kherson Oblast;БРДМ-2Л1;RECCE;1;25.04.2022;DESTROYED;СОФИЕВКА;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985;07.05.2022
Kherson Oblast;БРДМ-2;RECCE;1;25.04.2022;DESTROYED;СОФИЕВКА;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985;07.05.2022
Kherson Oblast;БРДМ-2;RECCE;1;25.04.2022;DESTROYED;СОФИЕВКА;ХЕРСОНСКАЯ ОБЛАСТЬ;47.439474;33.276985;07.05.2022
Chernihiv Oblast;Т-64БВ;MBT;1;25.04.2022;DESTROYED;ЧЕРНИГОВ;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514;07.05.2022
Luhansk Oblast;БРДМ-2Л1;RECCE;1;24.04.2022;DESTROYED;КРЕМЕННАЯ;ЛУГАНСКАЯ ОБЛАСТЬ;49.049943;38.221114;07.05.2022
Kharkiv Oblast;БТР-4Е;APC;1;23.04.2022;DESTROYED;;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;07.05.2022
Luhansk Oblast;Т-72Б;MBT;1;22.04.2022;DESTROYED;РУБЕЖНОЕ;ЛУГАНСКАЯ ОБЛАСТЬ;49.025828;38.369633;07.05.2022
